# 其他符号：技术、几何、装饰、标点、带圈 CJK 等。用 Opus 5 逐块重写。
# 格式：码位序列 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同） <TAB> 选项
# 引号不在本表：全部收在 symbols-quotes.tsv，简洁档统一读一个字「引」。
00A1	倒感叹号	上下颠倒的感叹号，西班牙语感叹句开头用
2B0D	上下箭头	实心的竖直双向箭头，上下两端各一个箭尖
2B0E	右折向下	箭身先向右伸，末端拐弯朝下
2B0F	右折向上	箭身先向右伸，末端拐弯朝上
2B10	左折向下	箭身先向左伸，末端拐弯朝下
2B11	左折向上	箭身先向左伸，末端拐弯朝上
2B12	上半实心方块	正方形上半截涂实，下半截空白
2B13	下半实心方块	正方形下半截涂实，上半截空白
2B14	右上实心方块	正方形沿对角线分开，右上那一半涂实
2B15	左下实心方块	正方形沿对角线分开，左下那一半涂实
2B16	左半实心菱形	菱形左半边涂实，右半边空白
2B17	右半实心菱形	菱形右半边涂实，左半边空白
2B18	上半实心菱形	菱形上半边涂实，下半边空白
2B19	下半实心菱形	菱形下半边涂实，上半边空白
2B1A	虚线方框	四条边由一串小点连成的空心正方形
2B1D	极小实心方块	比一般小方块还要小的实心正方形
2B1E	极小空心方块	比一般小方块还要小的空心正方形
2B1F	实心五边形	五条边的实心图形，尖角朝上
2B20	空心五边形	五条边的空心图形，尖角朝上
2B21	空心六边形	六条边的空心图形，尖角朝上下
2B22	实心六边形	六条边的实心图形，尖角朝上下
2B23	横向实心六边形	六边形躺倒着放，尖角朝左右两侧
2B24	大实心圆	比一般实心圆点大得多的黑圆
2B25	中等实心菱形	四边等长的实心菱形，中等大小
2B26	中等空心菱形	四边等长的空心菱形，中等大小
2B27	中等实心长菱形	竖着拉长的实心菱形，比菱形更瘦，中等大小
2B28	中等空心长菱形	竖着拉长的空心菱形，比菱形更瘦，中等大小
2B29	小实心菱形	四边等长的实心菱形，尺寸偏小
2B2A	小实心长菱形	竖着拉长的实心菱形，尺寸偏小
2B2B	小空心长菱形	竖着拉长的空心菱形，尺寸偏小
2B2C	横向实心椭圆	横着拉长的实心椭圆
2B2D	横向空心椭圆	横着拉长的空心椭圆
2B2E	竖向实心椭圆	竖着拉长的实心椭圆
2B2F	竖向空心椭圆	竖着拉长的空心椭圆
2B30	带小圈左箭头	指向左的箭头，箭尾接一个小圆圈
2B31	三重左箭头	三个左箭头上下并排叠放
2B32	带圈加号左箭头	指向左的箭头，箭身上嵌一个圈住的加号
2B33	波形左箭头	箭身是一条长长的波浪线，末端指向左
2B34	双头左箭头带竖杠	箭尖两重的左箭头，箭身被一道竖杠划过
2B35	双头左箭头两竖杠	箭尖两重的左箭头，箭身被两道竖杠划过
2B36	竖线起双头左箭头	箭尾抵住一条竖线，箭尖两重，指向左
2B37	虚线双头左箭头	箭身断成三段短横线，箭尖两重，指向左
2B38	点线左箭头	箭身由一串小圆点组成，指向左
2B39	带钩左箭头带竖杠	箭尾带钩的左箭头，箭身被一道竖杠划过
2B3A	带钩左箭头两竖杠	箭尾带钩的左箭头，箭身被两道竖杠划过
2B3B	双头带钩左箭头	箭尖两重、箭尾带钩的左箭头，箭身干净
2B3C	双头带钩左箭头	箭尖两重、箭尾带钩，箭身上再加一道竖杠
2B3D	双头带钩左箭头	箭尖两重、箭尾带钩，箭身上再加两道竖杠
2B3E	穿过叉号左箭头	指向左的箭头，从一个叉号中间穿过去
2B3F	波形左箭头	箭身是一小段起伏的波浪，水平指向左
2B40	等号叠左箭头	等号在上，左箭头在下，上下叠写
2B41	反波浪号叠左箭头	反向的波浪号在上，左箭头在下
2B42	左箭头叠反约等号	左箭头在上，反向的约等号在下
2B43	穿过大于号右箭头	指向右的箭头，从一个大于号中间穿过去
2B44	穿过包含号右箭头	指向右的箭头，从一个包含号中间穿过去
2B45	四重左箭头	箭身由四条平行线并成，指向左
2B46	四重右箭头	箭身由四条平行线并成，指向右
2B47	反波浪号叠右箭头	反向的波浪号在上，右箭头在下
2B48	右箭头叠反约等号	右箭头在上，反向的约等号在下
2B49	波浪号叠左箭头	波浪号在上，左箭头在下
2B4A	左箭头叠约等号	左箭头在上，约等号在下
2B4B	左箭头叠反波浪号	左箭头在上，反向的波浪号在下
2B4C	右箭头叠反波浪号	右箭头在上，反向的波浪号在下
2B4D	锯齿形向下箭头	箭身走之字形折线，箭尖是实心三角，朝下
2B4E	斜向上短箭头	短短的一段箭身，略微倾斜着指向上方
2B4F	斜向下短箭头	短短的一段箭身，反向倾斜着指向下方
2B51	小实心五角星	五个角的实心星形，尺寸偏小
2B52	小空心五角星	五个角的空心星形，尺寸偏小
2B53	右指实心五边形	五边形的尖角朝右，整体涂实
2B54	右指空心五边形	五边形的尖角朝右，中间空白
2B56	双层粗椭圆	一个粗线椭圆里面再套一个椭圆
2B57	双层粗圆圈	一个粗线圆圈里面再套一个圆圈
2B58	粗圆圈	线条画得很粗的空心圆圈
2B59	圆圈叉号	粗线圆圈里画一个斜叉
2B5A	斜上钩头箭头	箭杆朝上倾斜，尖端弯成钩
2B5B	斜下钩尾箭头	箭杆朝下反向倾斜，尾端弯成钩
2B5C	斜上平尾箭头	箭杆朝上倾斜，尾端接一条横线
2B5D	斜下平尾箭头	箭杆朝下反向倾斜，尾端接一条横线
2B5E	先下后右上箭头	箭杆先向下走，再折向右上方
2B5F	先下后右上短箭头	箭身很短，向下走一小段就折向右上方
2B60	左箭头	箭尖是实心三角的左向箭头
2B61	上箭头	箭尖是实心三角的上向箭头
2B62	右箭头	箭尖是实心三角的右向箭头
2B63	下箭头	箭尖是实心三角的下向箭头
2B64	左右箭头	两端都是实心三角箭尖的左右双向箭头
2B65	上下箭头	两端都是实心三角箭尖的上下双向箭头
2B66	西北箭头	指向左上方，箭尖是实心三角
2B67	东北箭头	指向右上方，箭尖是实心三角
2B68	东南箭头	指向右下方，箭尖是实心三角
2B69	西南箭头	指向左下方，箭尖是实心三角
2B6A	虚线左箭头	箭杆由短横线连成，指向左，箭尖实心三角
2B6B	虚线上箭头	箭杆由短线段连成，指向上，箭尖实心三角
2B6C	虚线右箭头	箭杆由短横线连成，指向右，箭尖实心三角
2B6D	虚线下箭头	箭杆由短线段连成，指向下，箭尖实心三角
2B6E	顺时针圆箭头	一段开口的圆弧，顺时针绕行，箭尖实心三角
2B6F	逆时针圆箭头	一段开口的圆弧，逆时针绕行，箭尖实心三角
2B70	左箭头到竖线	向左的箭头顶在一条竖线上，箭尖实心三角
2B71	上箭头到横线	向上的箭头顶在一条横线上，箭尖实心三角
2B72	右箭头到竖线	向右的箭头顶在一条竖线上，箭尖实心三角
2B73	下箭头到横线	向下的箭头顶在一条横线上，箭尖实心三角
2B76	西北箭头到线	指向左上方，尖端顶着一条短线
2B77	东北箭头到线	指向右上方，尖端顶着一条短线
2B78	东南箭头到线	指向右下方，尖端顶着一条短线
2B79	西南箭头到线	指向左下方，尖端顶着一条短线
2B7A	双横线左箭头	箭杆上划着两道短横线，指向左
2B7B	双横线上箭头	箭杆上划着两道短横线，指向上
2B7C	双横线右箭头	箭杆上划着两道短横线，指向右
2B7D	双横线下箭头	箭杆上划着两道短横线，指向下
2B7E	水平制表键	键盘制表键的图形，箭头横向跳格
2B7F	垂直制表键	键盘制表键的图形，箭头纵向跳格
2B80	一左一右双箭头	上下排列，上面一支指左，下面一支指右
2B81	一上一下双箭头	左右并排，左边一支指上，右边一支指下
2B82	一左一右双箭头	上下排列，上面一支指右，下面一支指左
2B83	一上一下双箭头	左右并排，左边一支指下，右边一支指上
2B84	两个左箭头	两支平行的左箭头并排，箭尖实心三角
2B85	两个上箭头	两支平行的上箭头并排，箭尖实心三角
2B86	两个右箭头	两支平行的右箭头并排，箭尖实心三角
2B87	两个下箭头	两支平行的下箭头并排，箭尖实心三角
2B88	圆底空心左箭头	实心黑圆里嵌一个空心左箭头
2B89	圆底空心上箭头	实心黑圆里嵌一个空心上箭头
2B8A	圆底空心右箭头	实心黑圆里嵌一个空心右箭头
2B8B	圆底空心下箭头	实心黑圆里嵌一个空心下箭头
2B8C	逆时针右半圈箭头	箭杆在右侧绕成半圈，开口朝左，逆时针走向
2B8D	逆时针下半圈箭头	箭杆在下方绕成半圈，开口朝上，逆时针走向
2B8E	逆时针左半圈箭头	箭杆在左侧绕成半圈，开口朝右，逆时针走向
2B8F	逆时针上半圈箭头	箭杆在上方绕成半圈，开口朝下，逆时针走向
2B90	左向回车箭头	表示回车的折角箭头，尖端朝左
2B91	右向回车箭头	表示回车的折角箭头，尖端朝右
2B92	左向换行箭头	表示换行的折角箭头，尖端朝左
2B93	右向换行箭头	表示换行的折角箭头，尖端朝右
2B94	四角逆时针箭头	四个箭头分处四角，首尾相接绕成逆时针一圈
2B95	右箭头	笔画粗重的实心右箭头
2B97	甲类电子产品	电子产品分类里代表甲类的图形
2B98	立体左三角箭头	左向等边三角箭头，上侧受光显出立体感
2B99	立体上三角箭头	上向等边三角箭头，右侧受光显出立体感
2B9A	立体右三角箭头	右向等边三角箭头，上侧受光显出立体感
2B9B	立体下三角箭头	下向等边三角箭头，左侧受光显出立体感
2B9C	实心左三角	不带箭杆的实心等边三角箭尖，指向左
2B9D	实心上三角	不带箭杆的实心等边三角箭尖，指向上
2B9E	实心右三角	不带箭杆的实心等边三角箭尖，指向右
2B9F	实心下三角	不带箭杆的实心等边三角箭尖，指向下
2BA0	先下后左箭头	箭杆向下走，末端长长地折向左，箭尖实心三角
2BA1	先下后右箭头	箭杆向下走，末端长长地折向右，箭尖实心三角
2BA2	先上后左箭头	箭杆向上走，末端长长地折向左，箭尖实心三角
2BA3	先上后右箭头	箭杆向上走，末端长长地折向右，箭尖实心三角
2BA4	先左后上箭头	箭杆向左走，末端长长地折向上，箭尖实心三角
2BA5	先右后上箭头	箭杆向右走，末端长长地折向上，箭尖实心三角
2BA6	先左后下箭头	箭杆向左走，末端长长地折向下，箭尖实心三角
2BA7	先右后下箭头	箭杆向右走，末端长长地折向下，箭尖实心三角
2BA8	先下后左实心箭头	笔画粗重的实心箭头，向下弯转到左
2BA9	先下后右实心箭头	笔画粗重的实心箭头，向下弯转到右
2BAA	先上后左实心箭头	笔画粗重的实心箭头，向上弯转到左
2BAB	先上后右实心箭头	笔画粗重的实心箭头，向上弯转到右
2BAC	先左后上实心箭头	笔画粗重的实心箭头，向左弯转到上
2BAD	先右后上实心箭头	笔画粗重的实心箭头，向右弯转到上
2BAE	实心左下弯箭头	向左行进后转向下方的实心弧形箭头，箭尖朝下
2BAF	实心右下弯箭头	向右行进后转向下方的实心弧形箭头，箭尖朝下
2BB0	丝带箭头向下转左	像折叠丝带的箭头，先向下走再折向左，箭尖朝左
2BB1	丝带箭头向下转右	像折叠丝带的箭头，先向下走再折向右，箭尖朝右
2BB2	丝带箭头向上转左	像折叠丝带的箭头，先向上走再折向左，箭尖朝左
2BB3	丝带箭头向上转右	像折叠丝带的箭头，先向上走再折向右，箭尖朝右
2BB4	丝带箭头向左转上	像折叠丝带的箭头，先向左走再折向上，箭尖朝上
2BB5	丝带箭头向右转上	像折叠丝带的箭头，先向右走再折向上，箭尖朝上
2BB6	丝带箭头向左转下	像折叠丝带的箭头，先向左走再折向下，箭尖朝下
2BB7	丝带箭头向右转下	像折叠丝带的箭头，先向右走再折向下，箭尖朝下
2BB8	双横线空心上箭头	空心上箭头，底部一条横线，箭杆中间再穿一条横线
2BB9	方框内上箭尖	长方形框里一个朝上的尖角折线，没有箭杆
2BBA	两个交叠空心方块	两只白方块斜错叠在一起，边线互相穿过
2BBB	黑白交叠方块	一个白方块和一个黑方块部分重叠
2BBC	两个交叠实心方块	两只黑方块斜错叠在一起
2BBD	打细叉方框	选择框里画一个叉，笔画比常见的打叉方框细
2BBE	带圈叉号	圆圈里一个叉，不是数学里表示张量积的圈乘
2BBF	带圈粗叉号	圆圈里一个笔画加粗的叉
2BC0	居中实心方块	黑色方块，字形在字框里垂直居中，便于对齐
2BC1	居中实心菱形	黑色菱形，字形在字框里垂直居中
2BC2	倒置实心五边形	黑色五边形，尖角朝下
2BC3	横向实心八边形	黑色八边形，横向拉长
2BC4	实心八边形	八条边等长的黑色八边形，不像横向八边形那样拉长
2BC5	居中实心上三角	中等大小的黑三角，尖朝上，字形在字框里垂直居中
2BC6	居中实心下三角	中等大小的黑三角，尖朝下，字形在字框里垂直居中
2BC7	居中实心左三角	中等大小的黑三角，尖朝左，字形在字框里垂直居中
2BC8	居中实心右三角	中等大小的黑三角，尖朝右，字形在字框里垂直居中
2BC9	海王星	海王星的另一种写法，不是常见的三叉戟形
2BCA	上半黑圆	圆形上半边涂黑，下半边留白
2BCB	下半黑圆	圆形下半边涂黑，上半边留白
2BCC	细四角黑星	四个尖角朝上下左右，边线内凹，笔画细瘦，实心
2BCD	斜置细四角黑星	同样细瘦的四角实心星，转了四十五度，尖角朝斜方向
2BCE	四角空心星	四个尖角朝上下左右，边线内凹，中间空白
2BCF	斜置四角空心星	同样的空心四角星，转了四十五度，尖角朝斜方向
2BD0	位置指示方框
2BD1	不确定	标注内容存疑、无法确定
2BD2	分组标记	早期数据处理中标出一组数据界限的记号
2BD3	冥王星	占星常用的冥王星写法，十字上方一弯新月托着小圆
2BD4	冥王星	冥王星的第三种写法，占星文献里的变体
2BD5	冥王星	冥王星的第四种写法，占星文献里的变体
2BD6	冥王星	冥王星的第五种写法，占星文献里的变体
2BD7	超冥王星	占星中假想的冥王星外行星
2BD8	普洛塞庇娜	占星中假想的行星，名字取自罗马神话的冥后
2BD9	义神星	占星用的小行星义神星，名字取自希腊正义女神
2BDA	健神星	占星用的小行星健神星，名字取自希腊健康女神
2BDB	福洛斯	占星用的半人马小行星，名字取自款待赫拉克勒斯的半人马
2BDC	涅索斯	占星用的半人马小行星，名字取自被赫拉克勒斯射杀的半人马
2BDD	白月塞勒涅	占星中的白月虚点，与黑月相对
2BDE	十字上的实心菱形
2BDF	真白月阿尔塔	占星中白月按真实位置取的虚点，名叫阿尔塔
2BE0	丘比特星	汉堡学派占星的假想行星，名字取自罗马爱神
2BE1	哈迪斯星	汉堡学派占星的假想行星，名字取自希腊冥王
2BE2	宙斯星	汉堡学派占星的假想行星，名字取自希腊主神
2BE3	克洛诺斯星	汉堡学派占星的假想行星，名字取自希腊神话的泰坦
2BE4	阿波罗星	汉堡学派占星的假想行星，名字取自希腊太阳神
2BE5	阿德墨托斯星	汉堡学派占星的假想行星，名字取自希腊神话的国王
2BE6	伏尔甘星	汉堡学派占星的假想行星，名字取自罗马火神
2BE7	波塞冬星	汉堡学派占星的假想行星，名字取自希腊海神
2BE8	左半黑星	只画出左半边的五角星，涂成实心
2BE9	右半黑星	只画出右半边的五角星，涂成实心
2BEA	左半填黑五角星	完整的五角星轮廓，左半边涂黑、右半边留白
2BEB	右半填黑五角星	完整的五角星轮廓，右半边涂黑、左半边留白
2BEC	三角双头左箭头	箭杆左端前后排着两个实心三角箭头
2BED	三角双头上箭头	箭杆上端前后排着两个实心三角箭头
2BEE	三角双头右箭头	箭杆右端前后排着两个实心三角箭头
2BEF	三角双头下箭头	箭杆下端前后排着两个实心三角箭头
2BF0	阋神星	矮行星阋神星在占星中的常用写法
2BF1	阋神星	矮行星阋神星的另一种写法
2BF2	塞德娜	远日小天体塞德娜，名字取自因纽特神话的海洋女神
2BF3	二十分相	俄式占星的相位记号，圆周的二十分之一，十八度
2BF4	九分相	俄式占星的相位记号，圆周的九分之一，四十度
2BF5	五分相	俄式占星的相位记号，圆周的五分之一，七十二度
2BF6	双九分相	俄式占星的相位记号，圆周的九分之二，八十度
2BF7	一百度相位	俄式占星的相位记号，两星相距一百度
2BF8	一百零八度相位	俄式占星的相位记号，圆周的十分之三
2BF9	等号加无穷大	等号下面叠一个躺倒的八字，即无穷大
2BFA	联合记号
2BFB	分离记号
2BFC	加倍记号
2BFD	通过记号
2BFE	反向直角	直角记号左右翻转，开口朝另一侧
2BFF	电传暂停记号	赫尔电传打字机里表示停顿的记号
2E00	替换标记	抬高的直角折线，古籍校勘里标在词前，表示这个词有异文替换
2E01	带点替换标记	直角折线中间加一点，标出同一处的第二个替换异文
2E02	左替换括号	与右替换括号成对，框出被异文替换那段文字的开头
2E03	右替换括号	与左替换括号成对，标出被替换文段的结尾
2E04	左带点替换括号	左替换括号中间加一点，框出同一处第二组替换文段的开头
2E05	右带点替换括号	右替换括号中间加一点，标出第二组替换文段的结尾
2E06	插入标记	抬高的小尖角，古籍校勘里标出这个位置有增补进来的文字
2E07	带点插入标记	小尖角中间加一点，标出同一处的第二个增补
2E08	换序标记	带一点的折角，古籍校勘里标出这里的词序有调换
2E09	左换序括号	与右换序括号成对，框出词序被调换那段文字的开头
2E0A	右换序括号	与左换序括号成对，标出词序调换文段的结尾
2E0B	抬高小方框	悬在一行上部的小方块，古籍校勘里用的编辑记号
2E0C	左省略括号	抬高的一小道斜线，与右省略括号成对，标出被略去文字的开头
2E0D	右省略括号	抬高的一小道斜线，斜向与左省略括号相反，标出被略去文字的结尾
2E0E	段末花饰	古希腊纸草文献里的弯曲花饰，标一段文章或一首诗的结束
2E0F	分段横线	古希腊文献里画在行首左边的一条短横，标出段落或话轮的分界
2E10	分叉分段线	末端分成两叉的分段横线，同样标出文本的分界
2E11	反向分叉分段线	分叉方向与分叉分段线相反的一条分段横线
2E12	分词逗点	古希腊文里写在两个字母之间的小逗形，把容易连读的词分开
2E13	带点存疑横线	一条短横上下各加一点，古代校勘家用它标出可能是后人窜入的文句
2E14	向下锚形	形如朝下的锚，古纸草文献里用来指出补入文字的位置
2E15	向上锚形	形如朝上的锚，与向下锚形配着用，同样指补入的位置
2E16	带点右尖角	尖角朝右，旁边加一点，古文献校勘里用来做标注
2E17	双斜连字号	两条平行的短斜线，德文旧体印刷和古文字转写里当连字号用
2E18	倒置问叹号	问号和叹号合成一体再上下翻转，放在句首引出又惊讶又疑问的句子
2E19	棕榈枝花饰	形如一片棕榈叶，古文献里用作分隔或装饰
2E1A	带两点连字号	一条短横上面加两个点，语言学转写里的连字号变体
2E1B	加圈波浪号	波浪线上方加一个小圆圈，用于语言学转写
2E1C	左低位释义括号	贴着底线的小折角，与右低位释义括号成对，框住转述或释义的部分
2E1D	右低位释义括号	贴着底线的小折角，方向与左低位释义括号相反，标出释义部分的结尾
2E1E	上加点波浪号	波浪线上方加一个点，与下加点波浪号相对
2E1F	下加点波浪号	波浪线下方加一个点，与上加点波浪号相对
2E20	左钩竖线括号	一条竖线带一个小钩，与右钩竖线括号成对，框出一段文字的开头
2E21	右钩竖线括号	一条竖线带一个方向相反的小钩，标出这对括号的结尾
2E22	左上角半括号	形状是直角引号的左上角，古文字转写里与右上角半括号成对，框出残损不清的文字
2E23	右上角半括号	形状是直角引号的右上角，标出残损文字的结尾
2E24	左下角半括号	折角落在左下方，是半括号的下沉写法，与右下角半括号成对
2E25	右下角半括号	折角落在右下方，收住这对下沉的半括号
2E26	左横卧半圆括号	半圆横躺着，开口朝右，与右横卧半圆括号配成一对
2E27	右横卧半圆括号	半圆横躺着，开口朝左，收住这对括号
2E28	左双圆括号	两个左圆括号并在一起，用作双重括起的左半边
2E29	右双圆括号	两个右圆括号并在一起，与左双圆括号配对收尾
2E2A	倒三角三点	上面两点、下面一点，三点排成倒三角，古文献里的标点
2E2B	正三角三点	上面一点、下面两点，三点排成正三角，古文献里的标点
2E2C	方形四点	四个点排成一个正方形，古文献里的标点
2E2D	梅花五点	四个角各一点、正中再一点，共五点排成梅花状
2E2E	反问号	问号左右翻转，历史上用来标出反问句或反讽的语气
2E2F	竖立波浪号	波浪号转成竖向的形状
2E30	圆圈点	写作一个小圆圈的句读点
2E31	分词中点	居中的小圆点，专门用来隔开单词
2E32	倒转逗号	逗号旋转半圈后的形状
2E33	抬高的点	位置高于句点的小圆点
2E34	抬高的逗号	写在字行上方的逗号
2E35	倒转分号	分号旋转半圈后的形状
2E36	带左护手剑号	短剑号形状，左侧多一道护手横挡
2E37	带右护手剑号	短剑号形状，右侧多一道护手横挡
2E38	倒转剑号	短剑号上下颠倒，尖端朝上
2E39	节号上半	节号只保留上面一半的形状
2E3C	速记句号	速记体系里表示句子结束
2E3D	竖排六点	六个圆点纵向排列
2E3E	扭曲竖线	一条上下蜿蜒起伏的竖线
2E3F	章首段落号	中世纪抄本里标示章节开头，是现代段落号的前身
2E40	双连字符	由上下两条短横组成的连字符
2E41	反向逗号	逗号左右镜像后的形状，翻法与倒转逗号不同
2E43	左端上翘横线	一条横线，左边一端向上折起
2E44	双缩略号	古抄本里表示词被截断省略，由两笔组成
2E45	倒置低钩	写在字行下方的钩形笔画，开口方向倒转
2E46	双层倒置低钩	字行下方的倒转钩形，上面再叠一个同样的钩
2E47	低位钩形	写在字行下方的钩形笔画，未经倒转
2E48	带点低位钩形	字行下方的钩形笔画，旁边加一个圆点
2E49	上下双逗号	两个逗号上下叠放
2E4A	带点斜线	一条斜线，旁边配一个圆点
2E4B	三剑号	剑号带三道横挡，比双剑号多一道
2E4C	中世纪逗号	中世纪抄本使用的逗号写法
2E4D	古体分段号	中世纪抄本里用来分隔段落，不像章首段落号那样标示章节开头
2E4E	古体半停顿号	中世纪抄本里表示句中较大的停顿，轻于句号重于逗号
2E4F	康沃尔诗句分隔号	康沃尔语诗歌里用来隔开诗行
2E50	宽臂十字带右杠	四臂末端展宽的十字，右侧多出一道横杠
2E51	宽臂十字带左杠	四臂末端展宽的十字，左侧多出一道横杠
2E52	大写提洛和号	古速记体系里代替和字的写法，这里是大写形式
2E53	中世纪叹号	中世纪抄本使用的感叹号写法
2E54	中世纪问号	中世纪抄本使用的问号写法
2E55	带杠左方括号	左方括号中间被一道笔画划过
2E56	带杠右方括号	右方括号中间被一道笔画划过
2E57	带双杠左方括号	左方括号上划过两道笔画
2E58	带双杠右方括号	右方括号上划过两道笔画
2E59	左圆括号上半	左圆括号只保留上面一半
2E5A	右圆括号上半	右圆括号只保留上面一半
2E5B	左圆括号下半	左圆括号只保留下面一半
2E5C	右圆括号下半	右圆括号只保留下面一半
2E5D	斜连字符	倾斜书写的连字符
3003	重复上行	表格里的双撇，表示这一栏与上一行内容相同
3004	日本工业标准	日本商品上表示符合工业标准的认证
3006	日式封缄	写在信封封口处表示已封好，也用作合计
3012	日本邮政标记	写在日本邮政编码前面
3013	缺字标记	日文排版里代替排不出来的字的双横线
3020	邮政笑脸标记	日本邮政标记画成一张脸
3021	苏州码一	旧时账簿和标价用的花码数字，一画
3022	苏州码二	花码数字的二，两画并排
3023	苏州码三	花码数字的三，三画并排
3024	苏州码四	花码数字的四，写成一个叉
3025	苏州码五	花码数字的五，写法与汉字五不同
3026	苏州码六	花码数字的六，不再用竖画堆叠
3027	苏州码七	花码数字的七，港澳旧价目牌上还能见到
3028	苏州码八	花码数字的八，旧时账房常用
3029	苏州码九	花码数字的九，花码里最大的个位数
302A	平声调号	古书在汉字角上加点标四声，这个表示平声
302B	上声调号	四角标声法里表示上声
302C	去声调号	四角标声法里表示去声
302D	入声调号	四角标声法里表示入声
302E	韩文单点调号	古韩文字旁加一点，表示去声
302F	韩文双点调号	古韩文字旁加两点，表示上声
3030	波浪线	一段横着的波浪形短线，日文里表示把音拖长
3031	竖排假名叠字符	日文竖排里表示重复前面的假名
3032	浊音假名叠字符	竖排假名重复号加浊点，重复时读浊音
3033	假名叠字符上半	竖排假名重复号拆开后的上半截
3034	浊音叠字符上半	带浊点的竖排假名重复号的上半截
3035	假名叠字符下半	竖排假名重复号拆开后的下半截，与上半合用
3036	带圈邮政标记	日本邮政标记外面套一个圆圈
3037	电报换行符	旧式电报报文里用来分隔行的标记
3038	苏州码十	花码数字的十，写成一横一竖
3039	苏州码二十	花码数字的二十，相当于汉字廿
303A	苏州码三十	花码数字的三十，相当于汉字卅
303B	竖排汉字叠字符	竖写时代替叠字符，表示重复前一个汉字
303C	带斜线的方框	日文里代替礼貌体词尾的略写
303D	折线记号	像屋顶折角的曲折短线，日文歌本里标出换人接唱的地方
303E	汉字变体指示	放在汉字前面，说明要用它的变体写法
303F	半角填充空白	标示半个汉字宽的空位，排版补白用
3200	括号韩文字母	圆括号里韩文第一个辅音字母，读音近似哥的声母，当序号用
3201	括号韩文字母	圆括号里韩文第二个辅音字母，读音近似那的声母，当序号用
3202	括号韩文字母	圆括号里韩文第三个辅音字母，读音近似大的声母，当序号用
3203	括号韩文字母	圆括号里韩文第四个辅音字母，读音近似拉的声母，当序号用
3204	括号韩文字母	圆括号里韩文第五个辅音字母，读音近似马的声母，当序号用
3205	括号韩文字母	圆括号里韩文第六个辅音字母，读音近似爸的声母，当序号用
3206	括号韩文字母	圆括号里韩文第七个辅音字母，读音近似撒的声母，当序号用
3207	括号韩文字母	圆括号里韩文第八个辅音字母，放在词头不发音，放在词尾读后鼻音
3208	括号韩文字母	圆括号里韩文第九个辅音字母，读音近似渣的声母，当序号用
3209	括号韩文字母	圆括号里韩文第十个辅音字母，读音近似叉的声母，当序号用
320A	括号韩文字母	圆括号里韩文第十一个辅音字母，读音近似卡的声母，当序号用
320B	括号韩文字母	圆括号里韩文第十二个辅音字母，读音近似他的声母，当序号用
320C	括号韩文字母	圆括号里韩文第十三个辅音字母，读音近似怕的声母，当序号用
320D	括号韩文字母	圆括号里韩文第十四个辅音字母，读音近似哈的声母，当序号用
320E	括号韩文音节	圆括号里韩文第一个音节，辅音配元音阿，读音近似嘎，当序号用
320F	括号韩文音节	圆括号里韩文第二个音节，辅音配元音阿，读音近似那，当序号用
3210	括号韩文音节	圆括号里韩文第三个音节，辅音配元音阿，读音近似搭，当序号用
3211	括号韩文音节	圆括号里韩文第四个音节，辅音配元音阿，读音近似拉，当序号用
3212	括号韩文音节	圆括号里韩文第五个音节，辅音配元音阿，读音近似妈，当序号用
3213	括号韩文音节	圆括号里韩文第六个音节，辅音配元音阿，读音近似巴，当序号用
3214	括号韩文音节	圆括号里韩文第七个音节，辅音配元音阿，读音近似撒，当序号用
3215	括号韩文音节	圆括号里韩文第八个音节，只有元音阿，读音近似啊，当序号用
3216	括号韩文音节	圆括号里韩文第九个音节，辅音配元音阿，读音近似扎，当序号用
3217	括号韩文音节	圆括号里韩文第十个音节，辅音配元音阿，读音近似叉，当序号用
3218	括号韩文音节	圆括号里韩文第十一个音节，辅音配元音阿，读音近似卡，当序号用
3219	括号韩文音节	圆括号里韩文第十二个音节，辅音配元音阿，读音近似他，当序号用
321A	括号韩文音节	圆括号里韩文第十三个音节，辅音配元音阿，读音近似趴，当序号用
321B	括号韩文音节	圆括号里韩文第十四个音节，辅音配元音阿，读音近似哈，当序号用
321C	括号韩文株	韩文株式会社的缩写加圆括号，写在韩国公司名旁边，相当于股份公司
321D	括号韩文上午	韩文的午前加圆括号，标在时刻旁表示上午
321E	括号韩文下午	韩文的午后加圆括号，标在时刻旁表示下午，和括号韩文上午配对
3220	括号一	圆括号里的汉字数字一，公文分条时当序号
3221	括号二	圆括号里的汉字数字二，公文分条时当序号
3222	括号三	圆括号里的汉字数字三，公文分条时当序号
3223	括号四	圆括号里的汉字数字四，公文分条时当序号
3224	括号五	圆括号里的汉字数字五，公文分条时当序号
3225	括号六	圆括号里的汉字数字六，公文分条时当序号
3226	括号七	圆括号里的汉字数字七，公文分条时当序号
3227	括号八	圆括号里的汉字数字八，公文分条时当序号
3228	括号九	圆括号里的汉字数字九，公文分条时当序号
3229	括号十	圆括号里的汉字数字十，公文分条时当序号
322A	括号月	圆括号里一个月字，日文里当星期一用
322B	括号火	圆括号里一个火字，日文里当星期二用
322C	括号水	圆括号里一个水字，日文里当星期三用
322D	括号木	圆括号里一个木字，日文里当星期四用
322E	括号金	圆括号里一个金字，日文里当星期五用
322F	括号土	圆括号里一个土字，日文里当星期六用
3230	括号日	圆括号里一个日字，日文里当星期日用
