# 数学符号。用 Opus 5 逐块重写，覆盖到 Unicode 各数学块的全部已分配码位。
# 格式：码位序列 <TAB> 简洁读法 <TAB> 详细读法（留空表示与简洁相同） <TAB> 选项
# 引号不在本表：全部收在 symbols-quotes.tsv，简洁档统一读一个字「引」。
2022	圆点		# BULLET
2030	千分之		# PER MILLE SIGN
2031	万分之		# PER TEN THOUSAND SIGN
2032	分		# PRIME	?after_latin=导数
2033	秒		# DOUBLE PRIME	?after_latin=二阶导数
2034	三分		# TRIPLE PRIME
2044	分数线		# FRACTION SLASH
2070	上标 0	上标的零，写在右上角表示零次方，也用作脚注序号
29CE	右三角叠左三角	上面一个尖朝右的三角，下面一个尖朝左的三角
29CF	左三角带竖线	一个尖朝左的空心三角，右边紧挨一条竖线
29D0	竖线带右三角	一条竖线，右边紧挨一个尖朝右的空心三角
29D1	左半黑领结	领结形状，左边那个三角涂实，右边空心
29D2	右半黑领结	领结形状，右边那个三角涂实，左边空心
29D3	实心领结	领结形状，左右两个三角都涂实
29D4	左半黑叉号	叉形乘号，左边一半涂实，右边空心
29D5	右半黑叉号	叉形乘号，右边一半涂实，左边空心
29D6	空心沙漏	沙漏形状，上下两个三角都是空心
29D7	实心沙漏	沙漏形状，上下两个三角都涂实
29D8	左波浪竖线	竖着的一条波浪线，成对使用时作左边界
29D9	右波浪竖线	竖着的一条波浪线，成对使用时作右边界
29DA	左双波浪竖线	两条并排的竖波浪线，成对使用时作左边界
29DB	右双波浪竖线	两条并排的竖波浪线，成对使用时作右边界
29DC	不闭合无穷号	无穷号的样子，其中一个圈没有合拢
29DD	无穷号上加弧	无穷号上方压一道连接用的弧线
29DE	无穷号中加竖线	无穷号被一条竖线穿断，表示否定
29DF	双端多重映射	一条横线两端各竖一短线，是多重映射记号的双向形式
29E0	轮廓起伏的方框	方框的四条边画成微微起伏的曲线
29E1	随之递增	表示一个量随另一个量增大的关系符
29E2	混洗积	组合数学里的混洗积，字形像三条竖线连着底部
29E3	等号加斜平行	等号配上一对倾斜的平行线
29E4	等号斜平行加波浪	等号配倾斜平行线，上方再压一个波浪号
29E5	恒等号加斜平行	三横的恒等号配上一对倾斜的平行线
29E6	等强号	逻辑里表示两者同样强的关系符
29E7	热力学记号	热力学里用的专门记号，日常极少见
29E8	左半黑下三角	尖朝下的三角形，左半边涂实，右半边空心
29E9	右半黑下三角	尖朝下的三角形，右半边涂实，左半边空心
29EA	实心菱形带下箭头	实心菱形，带一个朝下的箭头
29EB	实心菱形	瘦长型的实心菱形，比通常的实心菱形窄一些
29EC	空心圆带下箭头	空心圆圈，里面一个朝下的箭头
29ED	实心圆带下箭头	实心圆点，中间一个朝下的箭头
29EE	带误差线空心方块	空心方块，上下各接一条误差线
29EF	带误差线实心方块	实心方块，上下各接一条误差线
29F0	带误差线空心菱形	空心菱形，上下各接一条误差线
29F1	带误差线实心菱形	实心菱形，上下各接一条误差线
29F2	带误差线空心圆	空心圆圈，上下各接一条误差线
29F3	带误差线实心圆	实心圆点，上下各接一条误差线
29F4	延迟规则	冒号加右箭头，表示延迟生效的替换规则
29F5	反斜杠运算符	和普通反斜杠同形，专门当数学运算符用
29F6	斜杠上加横	一条斜杠，上方压一条横线
29F7	反斜杠加横	一条反斜杠，中间被一道短横穿过
29F8	大斜杠	比普通斜杠更高更长的斜线
29F9	大反斜杠	比普通反斜杠更高更长的斜线
29FA	双加号	两个加号并排连在一起
29FB	三加号	三个加号并排连在一起
29FC	左弯尖括号	尖朝左的括号，两边是弧线，比普通尖括号更弯
29FD	右弯尖括号	尖朝右的括号，两边是弧线，比普通尖括号更弯
29FE	小加号	组合博弈论里的微小记号，字形像小一号的加号
29FF	小减号	组合博弈论里与微小记号相对的记号，字形像小一号的减号
2A00	圈点连乘	大写的圈点运算符，圆圈里一个点，一串因子连续做圈点运算，不是两项之间的运算
2A01	直和	大写的圈加运算符，圆圈里一个加号，一串对象连续取直和，比二元的圈加字号大一圈
2A02	张量积	大写的圈乘运算符，圆圈里一个叉，一串对象连续取张量积，比二元的圈乘字号大一圈
2A03	带点大并集	大写并集里加一个圆点，一串集合连续取并，与里面加加号的那个只差中间一笔
2A04	带加大并集	大写并集里加一个加号，一串集合连续取并，常用来记不交并或多重集求和
2A05	方形大交集	方角的大写交集，开口朝下，格论里表示一串元素取下确界
2A06	方形大并集	方角的大写并集，开口朝上，格论里表示一串元素取上确界，也用来记不交并
2A07	双逻辑与	两个尖角朝上的逻辑与并排合成，比单个的与多一重
2A08	双逻辑或	两个尖角朝下的逻辑或并排合成，与双逻辑与上下相反
2A09	连乘	大写的乘号叉，一串因子连续相乘，也用来记多个集合的笛卡尔积
2A0A	模二求和	求和号的变体，一串项相加之后对二取模，只留零和一两种结果
2A0B	求和积分	求和号与积分号拼在一起的字形，一个写法同时管离散求和与连续积分
2A0C	四重积分	四个积分号并排，对四个变量依次积分，比三重积分多一道
2A0D	有限部积分	积分号中间横穿一道短线，取发散积分的有限部分，与柯西主值是同一类处理
2A0E	双横线积分	积分号中间横穿两道短线，比只穿一道的有限部积分多一横
2A0F	平均值积分	积分号上划一道斜杠，积分之后再除以区域大小，取平均值
2A10	环量积分	名字就叫环量函数，算向量场沿闭合路径绕一圈的环量
2A11	逆时针环积分	积分号配一个逆时针箭头，沿闭合路径按逆时针方向绕行
2A12	方框绕极点积分	积分号上带一个矩形，沿绕过极点的矩形路径做线积分
2A13	半圆绕极点积分	积分号上带一个半圆，沿绕过极点的半圆路径做线积分
2A14	不含极点线积分	积分号上带一道折线，路径把极点绕开，不把它圈在里面
2A15	绕点积分	积分号带一个中间有点的小圈，沿包住那一点的闭合路径积分
2A16	四元数积分	四元数分析里用的积分写法，与实数上的普通积分分开用
2A17	左钩箭头积分	积分号配一个向左的箭头，箭头末端带钩
2A18	叉号积分	积分号上叠一个乘号叉
2A19	交集积分	积分号上叠一个开口朝下的交集
2A1A	并集积分	积分号上叠一个开口朝上的并集，与交集积分开口相反
2A1B	上横线积分	积分号上方加一道横线，用来记上积分，与下方加横线的成对
2A1C	下横线积分	积分号下方加一道横线，用来记下积分，与上方加横线的成对
2A1D	连接	关系代数里把两组数据按共同字段拼起来的运算，字形像横放的蝴蝶结，两个三角尖对尖
2A1E	大左三角	尖角朝左的空心大三角，字号比一般的三角关系写法大一圈
2A1F	模式复合	形式规格记法里把两个模式前后接起来复合，字形像加粗的分号
2A20	模式管道	形式规格记法里把前一个模式的输出接到后一个模式的输入，字形像连着的两个右尖角
2A21	模式投影	形式规格记法里从模式中取出一部分分量，字形是一竖上端向右伸出一横
2A22	加号上带小圈	普通加号正上方多一个小圆圈，与上方带尖角、带波浪的几个加号同族
2A23	加号上带尖角	普通加号正上方多一个朝上的尖帽，像折角
2A24	加号上带波浪	普通加号正上方多一道波浪线，与波浪在下方的那个上下相反
2A25	加号下带点	普通加号正下方多一个圆点，与减号下带点的成对
2A26	加号下带波浪	普通加号正下方多一道波浪线，与波浪在上方的那个上下相反
2A27	加号带下标二	加号右下角缀一个小号的二，常用来记模二加法
2A28	加号带黑三角	普通加号配一个实心小三角，实心这一笔是它与别的加号变体的区别
2A29	减号上带逗号	一道减号，正上方多一个逗点
2A2A	减号下带点	一道减号，正下方多一个圆点，与加号下带点的成对
2A2B	减号带下降点	减号上下各一个点，左上右下斜着排，整体往下走
2A2C	减号带上升点	减号上下各一个点，左下右上斜着排，整体往上走，与往下走的那个相反
2A2D	左半圆里加号	加号外面套着弧在左边的半圆，开口朝右
2A2E	右半圆里加号	加号外面套着弧在右边的半圆，开口朝左
2A2F	叉乘	两个向量做叉乘，字形是一个斜十字，与普通乘号同形但专指向量运算
2A30	乘号上带点	一个乘号叉，正上方多一个圆点
2A31	乘号下带横线	一个乘号叉，底下垫一道横线
2A32	半直积	群论里的半直积，与常见半直积写法的区别是底边封了口
2A33	碎积	代数拓扑里的碎积，由两个空间的直积压缩得到
2A34	左半圆里乘号	乘号叉外面套着弧在左边的半圆，开口朝右
2A35	右半圆里乘号	乘号叉外面套着弧在右边的半圆，开口朝左
2A36	圈乘号带尖角	圆圈里一个乘号叉，叉上再加一个朝上的尖帽，比普通圈乘多这一顶
2A37	双圈里乘号	乘号叉外面套两层同心圆，比普通圈乘多一圈
2A38	圈除号	圆圈里一个除号，除号是一横加上下两个点
2A39	三角里加号	三角形里框着一个加号
2A3A	三角里减号	三角形里框着一道减号
2A3B	三角里乘号	三角形里框着一个乘号叉
2A3C	内乘	微分几何里用向量场去缩并微分形式，不是向量点积的那个内积
2A3D	右内乘	与内乘互为镜像，折角朝相反的方向开口
2A3E	关系复合	形式规格记法里把两个关系前后接起来复合，与模式复合写法相近、作用对象不同
2A3F	余积	范畴论里的余积，也叫合并，字形像开口朝下的方形并集
2A40	带点交集	交集的拱形当中放一个圆点
2A41	带减号并集	并集的碗形当中放一条短横
2A42	上加横并集	并集上方另压一条横线，横线与碗身分开
2A43	上加横交集	交集上方另压一条横线，横线与拱身分开
2A44	交集套逻辑与	交集的拱形里面再嵌一个逻辑与的尖角
2A45	并集套逻辑或	并集的碗形里面再嵌一个逻辑或的尖角
2A46	并集叠交集	上面一个并集，紧挨着下面一个交集，两层相扣
2A47	交集叠并集	上面一个交集，紧挨着下面一个并集，两层相扣
2A48	并集横线交集	自上而下依次是并集、一条横线、交集，共三层
2A49	交集横线并集	自上而下依次是交集、一条横线、并集，共三层
2A4A	双并集相连	两个并集左右并排，中间的竖笔连成一体
2A4B	双交集相连	两个交集左右并排，中间的竖笔连成一体
2A4C	封口并集	并集朝上的开口被一条横线封住，横线两端各有一小段突起
2A4D	封口交集	交集朝下的开口被一条横线封住，横线两端各有一小段突起
2A4E	双线方交集	直角转折的方形交集，笔画描成双线
2A4F	双线方并集	直角转折的方形并集，笔画描成双线
2A50	封口并集带尖角	封口并集里面再叠一个尖角笔画，属排版变体
2A51	带点逻辑与	逻辑与的尖顶上方点一个圆点
2A52	带点逻辑或	逻辑或的开口上方点一个圆点
2A53	双线逻辑与	逻辑与整个笔画描成双线，只是写法加重
2A54	双线逻辑或	逻辑或整个笔画描成双线，只是写法加重
2A55	两个交叠逻辑与	两个逻辑与左右错开，笔画互相穿插
2A56	两个交叠逻辑或	两个逻辑或左右错开，笔画互相穿插
2A57	倾斜大逻辑或	放大一号并且整体向右倾斜的逻辑或
2A58	倾斜大逻辑与	放大一号并且整体向右倾斜的逻辑与
2A59	逻辑或叠逻辑与	一个逻辑或和一个逻辑与叠压在一起，笔画互相穿过
2A5A	带竖逻辑与	逻辑与正中加一条竖线，从尖顶往下伸
2A5B	带竖逻辑或	逻辑或正中加一条竖线，从谷底往上伸
2A5C	带横逻辑与	逻辑与两条斜边之间横着一小段短线
2A5D	带横逻辑或	逻辑或两条斜边之间横着一小段短线
2A5E	逻辑与加双上横	逻辑与上方压两条平行横线
2A5F	逻辑与加下横	逻辑与下方托一条横线
2A60	逻辑与加双下横	逻辑与下方托两条平行横线
2A61	小逻辑或加下横	一个比常规小一号的逻辑或，下方托一条横线
2A62	逻辑或加双上横	逻辑或上方压两条平行横线
2A63	逻辑或加双下横	逻辑或下方托两条平行横线
2A64	定义域反限制	形式规约语言里从一个关系中扣掉指定定义域元素，字形是朝左的尖角中间加一竖
2A65	值域反限制	形式规约语言里从一个关系中扣掉指定值域元素，字形是朝右的尖角中间加一竖
2A66	下带点等号	等号两条横线的下方点一个圆点
2A67	上带点恒等号	三条横线的恒等号，最上面再点一个圆点
2A68	三横加双竖	三条横线像恒等号，被两条竖线竖着贯穿
2A69	三横加三竖	三条横线像恒等号，被三条竖线竖着贯穿
2A6A	上带点波浪号	一条波浪线，正上方点一个圆点
2A6B	波浪号斜两点	一条波浪线，左下方和右上方各一个圆点，两点向右上升
2A6C	两波浪夹短横	自上而下依次是波浪线、短横线、波浪线，共三层
2A6D	上带点全等号	波浪线压在等号上的全等号，最上面再点一个圆点
2A6E	带星号等号	等号的上方压一个星形
2A6F	带尖帽约等号	两条波浪线的约等号，上方加一个朝上的尖帽
2A70	约等号叠等号	上面两条波浪线，下面两条直横线，共四层，表示约等于或者相等
2A71	等号在加号上	上面是等号的两条横线，下面紧接一个加号
2A72	加号在等号上	上面是一个加号，下面紧接等号的两条横线
2A73	等号在波浪上	上面是等号的两条横线，下面是一条波浪线，共三层
2A74	双冒号等号	冒号写两遍再紧接一个等号，常见于文法定义式
2A75	两个等号相连	两个等号左右并排，横着数共四条短横
2A76	三个等号相连	三个等号左右并排，横着数共六条短横
2A77	等号上下各两点	等号上方两个圆点，下方也是两个圆点
2A78	等价号上四点	等价号的上方横排四个圆点
2A79	小于号里带圈	小于号的尖角里嵌一个小圆圈
2A7A	大于号里带圈	大于号的尖角里嵌一个小圆圈
2A7B	小于号上带问号	小于号的正上方加一个问号
2A7C	大于号上带问号	大于号的正上方加一个问号
2A7D	小于等于	小于号下面托一条倾斜的横线，含义与常见的小于等于完全相同
2A7E	大于等于	大于号下面托一条倾斜的横线，含义与常见的大于等于完全相同
2A7F	带点小于等于	横线倾斜的小于等于，尖角里面再嵌一个圆点
2A80	带点大于等于	大于号下面加一条斜横线，大于号的夹角里有一个点
2A81	带点小于等于	小于号下面加一条斜横线，正上方另有一个点
2A82	带点大于等于	大于号下面加一条斜横线，正上方另有一个点
2A83	带点小于等于	小于号下面加一条斜横线，右上方另有一个点
2A84	带点大于等于	大于号下面加一条斜横线，左上方另有一个点
2A85	小于或约等于	小于号下面压一个两道波浪线的约等号
2A86	大于或约等于	大于号下面压一个两道波浪线的约等号
2A87	小于且不等于	小于号下面一条横线，横线被一道斜杠划断，表示小于而不相等
2A88	大于且不等于	大于号下面一条横线，横线被一道斜杠划断，表示大于而不相等
2A89	小于且不约等于	小于号下面压一个被斜杠划断的约等号
2A8A	大于且不约等于	大于号下面压一个被斜杠划断的约等号
2A8B	小于等于或大于	三层叠放，从上到下依次是小于号、等号、大于号
2A8C	大于等于或小于	三层叠放，从上到下依次是大于号、等号、小于号
2A8D	小于或近似等于	小于号下面压一个近似等号，近似等号由一条波浪线加一条横线组成
2A8E	大于或近似等于	大于号下面压一个近似等号，近似等号由一条波浪线加一条横线组成
2A8F	小于相似或大于	三层叠放，从上到下依次是小于号、表示相似的波浪线、大于号
2A90	大于相似或小于	三层叠放，从上到下依次是大于号、表示相似的波浪线、小于号
2A91	小于大于或等于	三层叠放，从上到下依次是小于号、大于号、等号
2A92	大于小于或等于	三层叠放，从上到下依次是大于号、小于号、等号
2A93	小于等于或大于	上层是小于号加斜横线，下层是大于号加斜横线，合起来是小于等于或者大于等于
2A94	大于等于或小于	上层是大于号加斜横线，下层是小于号加斜横线，合起来是大于等于或者小于等于
2A95	小于等于	一条斜横线在上、小于号在下，上下顺序和常见的小于等于号相反
2A96	大于等于	一条斜横线在上、大于号在下，上下顺序和常见的大于等于号相反
2A97	带点小于等于	一条斜横线在上、小于号在下，小于号的夹角里有一个点
2A98	带点大于等于	一条斜横线在上、大于号在下，大于号的夹角里有一个点
2A99	小于等于	两条平行横线组成的等号在上，小于号在下
2A9A	大于等于	两条平行横线组成的等号在上，大于号在下
2A9B	小于等于	两条平行斜线在上，小于号在下
2A9C	大于等于	两条平行斜线在上，大于号在下
2A9D	相似或小于	一条表示相似的波浪线在上，小于号在下
2A9E	相似或大于	一条表示相似的波浪线在上，大于号在下
2A9F	相似小于或等于	三层叠放，从上到下依次是波浪线、小于号、等号
2AA0	相似大于或等于	三层叠放，从上到下依次是波浪线、大于号、等号
2AA1	双重小于号	两个小于号套叠在一起，尖角都朝左
2AA2	双重大于号	两个大于号套叠在一起，尖角都朝右
2AA3	双重小于等于	两个小于号套叠在一起，下面再加一条横线
2AA4	大于小于交叠	大于号和小于号叠在同一个位置，笔画互相穿过
2AA5	大于小于并排	大于号和小于号左右并排，两个尖角在中间相对
2AA6	封口小于号	小于号张开的一侧被一条弧线封住，围成尖角朝左的封闭形状
2AA7	封口大于号	大于号张开的一侧被一条弧线封住，围成尖角朝右的封闭形状
2AA8	封口小于等于	小于号张开的一侧被弧线封住，下面再加一条斜横线
2AA9	封口大于等于	大于号张开的一侧被弧线封住，下面再加一条斜横线
2AAA	小于	尖角朝左，表示较小，写法和常用的小于号不同
2AAB	大于	尖角朝右，表示较大，写法和常用的大于号不同
2AAC	小于等于	在表示较小的那个尖角朝左的写法下面加一条横线
2AAD	大于等于	在表示较大的那个尖角朝右的写法下面加一条横线
2AAE	等号上加弧线	等号上方再加一条向上凸起的弧线
2AAF	先于或等于	先于号下面加一条横线，表示次序在前或者相同
2AB0	后于或等于	后于号下面加一条横线，表示次序在后或者相同
2AB1	先于且不等于	先于号下面一条横线，横线被斜杠划断
2AB2	后于且不等于	后于号下面一条横线，横线被斜杠划断
2AB3	先于或等于	先于号下面加一个等号，也就是两条横线
2AB4	后于或等于	后于号下面加一个等号，也就是两条横线
2AB5	先于且不等于	先于号下面一个等号，等号被斜杠划断
2AB6	后于且不等于	后于号下面一个等号，等号被斜杠划断
2AB7	先于或约等于	先于号下面压一个约等号
2AB8	后于或约等于	后于号下面压一个约等号
2AB9	先于且不约等于	先于号下面压一个被斜杠划断的约等号
2ABA	后于且不约等于	后于号下面压一个被斜杠划断的约等号
2ABB	双重先于	两个先于号并排写在一起
2ABC	双重后于	两个后于号并排写在一起
2ABD	带点子集	子集号开口朝右，里面有一个点
2ABE	带点超集	超集号开口朝左，里面有一个点
2ABF	带加号子集	子集号下面加一个加号
2AC0	超集下加号	超集号下面压着一个加号
2AC1	子集下乘号	子集号下面压着一个乘号叉，开口朝右
2AC2	超集下乘号	超集号下面压着一个乘号叉，开口朝左，与子集那个成镜像
2AC3	子集等于带点	包含或相等的子集号，上方多出一个圆点
2AC4	超集等于带点	包含或相等的超集号，上方多出一个圆点
2AC5	子集且等于	子集号下面是完整的等号两条横线，比常见的子集等于号多一横
2AC6	超集且等于	超集号下面是完整的等号两条横线，比常见的超集等于号多一横
2AC7	子集且相似	子集号下面是一条波浪线，也就是相似号
2AC8	超集且相似	超集号下面是一条波浪线，开口朝左
2AC9	子集且约等	子集号下面是约等号，也就是上下两条波浪线
2ACA	超集且约等	超集号下面是上下两条波浪线的约等号
2ACB	子集且不等	子集号下面是带斜杠的不等号，表示包含但不相等
2ACC	超集且不等	超集号下面是带斜杠的不等号，表示包含但不相等，方向与子集那个相反
2ACD	左开口方框	一个方框缺了左边那一竖，三面封闭开口朝左，用作关系运算
2ACE	右开口方框	一个方框缺了右边那一竖，开口朝右，与开口朝左的那个成镜像
2ACF	闭合子集	子集号的开口被一条竖线封住，整体像个半圆，圆弧鼓在左边
2AD0	闭合超集	超集号的开口被一条竖线封住，半圆的圆弧鼓在右边
2AD1	闭合子集且等于	封了口的半圆形子集号，下面再加一条横线表示包含或相等
2AD2	闭合超集且等于	封了口的半圆形超集号，下面再加一条横线表示包含或相等
2AD3	子集叠超集	上下叠放，上面是子集号下面是超集号，两个开口一右一左
2AD4	超集叠子集	上下叠放，上面是超集号下面是子集号，上下顺序与前一个颠倒
2AD5	子集叠子集	两个子集号上下叠放，开口都朝右
2AD6	超集叠超集	两个超集号上下叠放，开口都朝左
2AD7	超集子集并排	左边超集号右边子集号，两个圆背在中间贴着，开口分别朝左右两侧
2AD8	超集短横连子集	并排的超集号和子集号，中间用一小段横线连起来，比不连的那个多一横
2AD9	属于号朝下	集合的属于号转了方向，开口由朝右变成朝下
2ADA	干草叉加顶横	名叫干草叉的关系运算，上端多加一条横线封顶
2ADB	横截相交	表示横截意义上的相交，和普通的交集号不是同一个字符
2ADC	分叉	逻辑里表示分叉的关系，字形比不分叉那个多压一道斜杠
2ADD	不分叉	逻辑里表示不分叉的关系，字形上没有那道斜杠
2ADE	短左钉	一条竖线左边伸出一小段横线，横线比通常的左钉号短
2ADF	短下钉	一条横线中间朝下伸出一小段竖线，竖线比通常的下钉号短
2AE0	短上钉	一条横线中间朝上伸出一小段竖线，竖线比通常的上钉号短
2AE1	垂直号加弯线	垂直号的竖线上叠着一个来回弯曲的笔画，形状像蛇行
2AE2	三横右推出号	一条竖线，右边平行伸出三条横线，比普通推出号多两横
2AE3	双竖左推出号	两条并列的竖线，左边只伸出一条横线，竖是双的横是单的
2AE4	双横左推出号	一条竖线，左边平行伸出两条横线，横是双的竖是单的
2AE5	双竖双横左推出	两条并列的竖线，左边平行伸出两条横线，竖和横都是双的
2AE6	双竖左出长横	两条并列的竖线，一条长横线从左边那条起笔向右伸，穿过右边那条
2AE7	短下钉加上横	上下两条平行横线，下面那条中间朝下伸出一小段竖线
2AE8	短上钉加下横	上下两条平行横线，上面那条中间朝上伸出一小段竖线
2AE9	短上钉叠短下钉	中间两条横线挨在一起，一小段竖线朝上另一小段朝下，两竖背向朝外
2AEA	双竖下钉	一条横线在上，底下挂着两条并列的短竖线
2AEB	双竖上钉	一条横线在下，上面立着两条并列的短竖线，常用来表示相互独立
2AEC	双线否定号	逻辑非号的双线写法，笔画由单线变成两道平行线
2AED	反向双线否定号	双线否定号左右翻转，末端下折的那一小竖落在左边
2AEE	反斜杠不整除	表示不整除，竖线上的否定杠朝反方向倾斜，与常见的不整除号镜像
2AEF	竖线上带圆	一条竖线，顶端接一个空心小圆圈
2AF0	竖线下带圆	一条竖线，底端接一个空心小圆圈，与圆在顶上的那个上下相反
2AF1	下钉下带圆	下钉号那条朝下的竖线，末端接一个空心小圆圈
2AF2	平行号加横杠	两条并列的竖线，中间横穿一道横线
2AF3	平行号加波浪	两条并列的竖线，中间横穿一条波浪线
2AF4	三竖线关系号	三条并列的竖线，用作二元关系
2AF5	三竖线加横杠	三条并列的竖线，中间横穿一道横线
2AF6	竖排三点	三个圆点上下排成一列，用作运算，和表示省略的竖三点不是同一个字符
2AF7	三重小于号	三个小于号层层嵌套，开口朝右，不是并排写的三个
2AF8	三重大于号	三个大于号层层嵌套，开口朝左，不是并排写的三个
2AF9	双线斜小于等于	小于等于号整体倾斜，下面那道横改成两条平行斜线
2AFA	双线斜大于等于	大于等于号整体倾斜，下面那道横改成两条平行斜线
2AFB	三斜杠关系号	三条并列的斜杠，用作二元关系
2AFC	大号三竖线	三条并列竖线的大型写法，字号比作关系号的那个明显大
2AFD	双斜杠	两条并列的斜杠合成一个整体，是单个字符不是两个斜杠
2AFE	空心竖线	一条中空的竖线，由两道细线围出一个窄长条
2AFF	多元空心竖线	空心竖线的大型写法，作多元运算，可以带上下限
